date,river_discharge_x,river_discharge_mean,river_discharge_max,river_discharge_min,latitude,longitude,p1_mm,p6_mm,pp_max,sm_mean,et24_mm,p1_pct,p6_pct,pp_unit,sm_norm,et_deficit,river_discharge_y,rd_norm,H_score
2025-11-01,0.42889392,0.428894,0.42889392,0.42889392,-30.02499771118164,-51.22499084472656,,,,,,,,,,,,,
2025-11-02,0.2882495,0.38355905,3.3853073,0.2882495,-30.02499771118164,-51.22499084472656,0.4000000059604645,0.9000000134110451,0.5799999833106995,0.2513333261013031,2.4800000190734863,0.875,0.6875,0.5799999833106995,0.5,0.7039999961853027,0.2882495,0.0625,0.6118999987840652
2025-11-03,1.741574,1.557074,4.970353,0.25892544,-30.02499771118164,-51.22499084472656,0.20000000298023224,0.30000000447034836,0.550000011920929,0.23474998772144318,3.559999942779541,0.6875,0.5625,0.550000011920929,0.5,0.4880000114440918,1.741574,0.8125,0.5825500017404557
2025-11-04,0.733804,0.66932386,1.5292981,0.20226443,-30.02499771118164,-51.22499084472656,0.0,0.0,0.0,0.21333332359790802,2.9300003051757812,0.5,0.4375,0.0,0.5,0.6139999389648437,0.733804,0.5625,0.4613999938964844
2025-11-05,0.4521116,0.41788045,1.1928048,0.16412604,-30.02499771118164,-51.22499084472656,0.0,0.0,0.07999999821186066,0.19758333265781403,3.7100002765655518,0.5,0.4375,0.07999999821186066,0.5,0.45799994468688965,0.4521116,0.375,0.431049994379282
2025-11-06,0.31219995,0.5778135,3.7315125,0.14024973,-30.02499771118164,-51.22499084472656,0.0,0.0,0.20999999344348907,0.1770000010728836,3.9800000190734863,0.5,0.4375,0.20999999344348907,0.5,0.4039999961853027,0.31219995,0.1875,0.41339999929070476
2025-11-07,17.365385,10.7726145,25.485,0.25892544,-30.02499771118164,-51.22499084472656,11.600000381469727,56.70000171661377,0.9300000071525574,0.3088333308696747,1.9500000476837158,1.0,1.0,0.9300000071525574,0.5,0.8099999904632569,17.365385,1.0,0.9024999994039535
2025-11-08,4.5335007,3.7285523,8.162205,1.1877615,-30.02499771118164,-51.22499084472656,0.20000000298023224,1.2000000178813934,0.8700000047683716,0.2931250035762787,4.130000114440918,0.6875,0.75,0.8700000047683716,0.5,0.37399997711181643,4.5335007,0.9375,0.6933999979496003
2025-11-09,1.7861211,1.3987575,2.5974934,0.5703628,-30.02499771118164,-51.22499084472656,0.0,0.30000000447034836,0.17000000178813934,0.4100416898727417,0.8400000333786011,0.5,0.5625,0.17000000178813934,0.5,1.0,1.7861211,0.875,0.602250000089407
2025-11-10,1.032357,0.81486374,3.073803,0.3273945,-30.02499771118164,-51.22499084472656,0.0,0.0,0.10000000149011612,0.5,0.0,0.5,0.4375,0.10000000149011612,0.5,1.0,1.032357,0.6875,0.5175000000745058
2025-11-11,0.72583795,0.60351586,3.4668355,0.22743928,-30.02499771118164,-51.22499084472656,0.0,0.0,0.10999999940395355,0.5,0.0,0.5,0.4375,0.10999999940395355,0.5,1.0,0.72583795,0.5,0.4992499999701977
2025-11-12,1.2029264,0.8389921,5.20869,0.18032062,-30.02499771118164,-51.22499084472656,0.4000000059604645,2.1000000536441803,0.41999998688697815,0.5,0.0,0.875,0.875,0.41999998688697815,0.5,1.0,1.2029264,0.75,0.795999999344349
2025-11-13,0.7579236,0.8253397,4.2844524,0.14024973,-30.02499771118164,-51.22499084472656,0.30000001192092896,1.5000000447034836,0.4000000059604645,0.5,0.0,0.75,0.8125,0.4000000059604645,0.5,1.0,0.7579236,0.625,0.7387500002980233
2025-11-14,0.52405274,1.1479427,7.51138,0.11686325,-30.02499771118164,-51.22499084472656,0.0,0.0,0.28999999165534973,0.5,0.0,0.5,0.4375,0.28999999165534973,0.5,1.0,0.52405274,0.4375,0.5019999995827675
2025-11-15,0.38995266,0.9233735,7.649679,0.101539254,-30.02499771118164,-51.22499084472656,0.0,0.0,0.25,0.5,0.0,0.5,0.4375,0.25,0.5,1.0,0.38995266,0.25,0.48125
2025-11-16,0.31219995,0.57294697,3.5708823,0.08642566,-30.02499771118164,-51.22499084472656,1.0,5.400000035762787,0.3199999928474426,0.5,0.0,0.9375,0.9375,0.3199999928474426,0.5,1.0,0.31219995,0.1875,0.7722499996423722
